trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,-50.43127488781348,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,7.382662089160348,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,16,6.965692394381302,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",30,2,-54.39200579730446,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",30,4,37.74979555853299,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,0,22.17623067955981,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,15,-4.804867630479984,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,2,28.477079374654167,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,13,13.382862884600918,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,0,-10.424241526273324,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,0,-38.575254500911015,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,8,-16.885088574894848,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,0,-66.79198648178652,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,-45.384249128110646,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,0,29.057931208417415,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,12,-3.8059790426324196,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,0,-100.94241327303405,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,13,11.29713494722395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,7,26.727410956291333,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,12,3.7049786149868913,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,5,14.426685968486655,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
